mechanism,model,resample,fingerprint,accuracy,precision,recall,f1_score,roc_auc
1,rf,smote,substructure,0.8604651162790697,0.8503267485969829,0.8604651162790697,0.8538486044061068,0.7701953219194598
2,xgb,smote,substructure,0.8255813953488372,0.8535898855666296,0.8255813953488372,0.8377592708988059,0.719078947368421
3,rf,smote,rdk7,0.7093023255813954,0.7113867545761234,0.7093023255813954,0.7079174857005391,0.7332251082251082
4,svm,smote,pubchem,0.9127906976744186,0.9104775376316283,0.9127906976744186,0.9105185675771984,0.9196779261586802
5,rf,rus,maccs,0.75,0.7591145833333334,0.75,0.7533076381425341,0.8082379862700229
6,svm,smote,substructure,0.7906976744186046,0.8084228527222264,0.7906976744186046,0.7992783437108094,0.5882352941176471
7,rf,smote,ecfp2,0.7965116279069767,0.8101375556655122,0.7965116279069767,0.8019266993053108,0.797159090909091
