mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,mechanism,model,resample,fingerprint,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__learning_rate,param_clf__min_child_weight
3.3779569625854493,0.5927676710639646,0.13727178573608398,0.017035472602313802,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.8625,0.8375,0.775,0.7875,0.7875,0.8099999999999999,0.033911649915626355,14,0.64,0.631578947368421,0.5238095238095238,0.5416666666666666,0.5714285714285714,0.5816967418546366,0.046789478718489666,16,0.8888888888888888,0.6666666666666666,0.5789473684210527,0.6842105263157895,0.42105263157894735,0.647953216374269,0.15228950487037182,14,0.7441860465116279,0.6486486486486487,0.55,0.6046511627906976,0.48484848484848486,0.6064668685598918,0.08800989698452509,13,7,svm,smote,ecfp2,,,,,,
3.1488994121551515,0.26665282512311567,0.12916159629821777,0.03496330049424316,1.0,linear,,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.85,0.8125,0.8125,0.7875,0.775,0.8075000000000001,0.025739075352467493,16,0.6153846153846154,0.5789473684210527,0.6,0.5416666666666666,0.5333333333333333,0.5738663967611336,0.031975915367417465,19,0.8888888888888888,0.6111111111111112,0.631578947368421,0.6842105263157895,0.42105263157894735,0.6473684210526316,0.14998147463775852,17,0.7272727272727273,0.5945945945945946,0.6153846153846154,0.6046511627906976,0.47058823529411764,0.6024982670673505,0.0814887518292734,14,7,svm,smote,ecfp2,,,,,,
3.1748430252075197,0.2549029328787997,0.12487554550170898,0.02232704690504371,10.0,linear,,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.825,0.8125,0.8125,0.775,0.825,0.8099999999999999,0.01837117307087381,14,0.5714285714285714,0.5714285714285714,0.6,0.52,0.6923076923076923,0.591032967032967,0.05683541980004512,12,0.8888888888888888,0.6666666666666666,0.631578947368421,0.6842105263157895,0.47368421052631576,0.6690058479532164,0.1327678580371236,9,0.6956521739130435,0.6153846153846154,0.6153846153846154,0.5909090909090909,0.5625,0.615966099118273,0.04435543749797262,7,7,svm,smote,ecfp2,,,,,,
3.2028414726257326,0.2795876181630254,0.10840659141540528,0.00844759238639458,100.0,linear,,"{'clf__C': 100, 'clf__kernel': 'linear'}",0.8125,0.7875,0.8125,0.775,0.825,0.8025,0.018371173070873822,17,0.5517241379310345,0.5217391304347826,0.6,0.52,0.6923076923076923,0.5771541921347019,0.0644459121088169,17,0.8888888888888888,0.6666666666666666,0.631578947368421,0.6842105263157895,0.47368421052631576,0.6690058479532164,0.1327678580371236,9,0.6808510638297872,0.5853658536585366,0.6153846153846154,0.5909090909090909,0.5625,0.607002124756406,0.04057458570253563,11,7,svm,smote,ecfp2,,,,,,
3.0905911445617678,0.3973856860567466,0.12120270729064941,0.011667003406981674,1000.0,linear,,"{'clf__C': 1000, 'clf__kernel': 'linear'}",0.8125,0.7875,0.8125,0.775,0.825,0.8025,0.018371173070873822,17,0.5517241379310345,0.5217391304347826,0.6,0.52,0.6923076923076923,0.5771541921347019,0.0644459121088169,17,0.8888888888888888,0.6666666666666666,0.631578947368421,0.6842105263157895,0.47368421052631576,0.6690058479532164,0.1327678580371236,9,0.6808510638297872,0.5853658536585366,0.6153846153846154,0.5909090909090909,0.5625,0.607002124756406,0.04057458570253563,11,7,svm,smote,ecfp2,,,,,,
8.04990530014038,0.24061291047607802,0.27505016326904297,0.060972851910867064,0.1,rbf,1.0,"{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'}",0.775,0.775,0.7625,0.7625,0.7625,0.7675000000000001,0.006123724356957978,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,7,svm,smote,ecfp2,,,,,,
6.54668083190918,0.16344203025594956,0.32761378288269044,0.021905966896567357,0.1,rbf,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8,0.8125,0.8125,0.75,0.8125,0.7975,0.024238399287081644,19,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.4444444444444444,1.0,0.7222222222222221,0.18592445034090568,5,0.2222222222222222,0.3333333333333333,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.24795321637426898,0.04687126294623129,25,0.3333333333333333,0.4444444444444444,0.4,0.2857142857142857,0.34782608695652173,0.36226363008971696,0.054923449834211185,25,7,svm,smote,ecfp2,,,,,,
8.096498155593872,0.18528263275647708,0.3105010986328125,0.04282885711673761,0.1,rbf,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.7125,0.725,0.7,0.7625,0.8125,0.7425,0.04077376607575023,25,0.41935483870967744,0.43333333333333335,0.41935483870967744,0.5,0.5833333333333334,0.4710752688172043,0.06358140073636033,20,0.7222222222222222,0.7222222222222222,0.6842105263157895,0.8421052631578947,0.7368421052631579,0.7415204678362574,0.053232437650176705,6,0.5306122448979592,0.5416666666666666,0.52,0.6274509803921569,0.6511627906976745,0.5741785365308913,0.054138500041856816,16,7,svm,smote,ecfp2,,,,,,
7.9984291076660154,0.28017726672476145,0.2886208057403564,0.060433317178026025,0.1,rbf,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.5875,0.525,0.6875,0.6125,0.675,0.6175,0.059476886266851596,28,0.3469387755102041,0.3,0.425,0.375,0.4,0.36938775510204086,0.04331269064810769,23,0.9444444444444444,0.8333333333333334,0.8947368421052632,0.9473684210526315,0.7368421052631579,0.871345029239766,0.07900149757956898,1,0.5074626865671642,0.4411764705882353,0.576271186440678,0.5373134328358209,0.5185185185185185,0.5161484589900834,0.04419175792762073,22,7,svm,smote,ecfp2,,,,,,
7.775168323516846,0.28361935180534686,0.32587494850158694,0.056150473983440696,0.1,rbf,0.0001,"{'clf__C': 0.1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",0.5625,0.525,0.6875,0.6125,0.6875,0.615,0.0653834841531101,29,0.3333333333333333,0.3,0.425,0.375,0.4117647058823529,0.36901960784313725,0.0469764393243628,24,0.9444444444444444,0.8333333333333334,0.8947368421052632,0.9473684210526315,0.7368421052631579,0.871345029239766,0.07900149757956898,1,0.4927536231884058,0.4411764705882353,0.576271186440678,0.5373134328358209,0.5283018867924528,0.5151633199691185,0.04554924625940105,23,7,svm,smote,ecfp2,,,,,,
